team,contracts,total_surplus,average_surplus,surplus_per_contract
PIT,22,5138865.140000001,233584.7790909091,233584.7790909091
S.J,25,3487483.58,139499.3432,139499.3432
NSH,23,-2426751.42,-105510.93130434782,-105510.93130434782
DET,26,-4491237.14,-172739.88999999998,-172739.88999999998
ANA,27,-6400088.260000001,-237040.30592592596,-237040.30592592596
COL,22,-6653819.53,-302446.3422727273,-302446.3422727273
CHI,28,-7447438.210000001,-265979.9360714286,-265979.9360714286
CAR,21,-8559160.879999999,-407579.0895238095,-407579.0895238095
T.B,26,-9360322.99,-360012.4226923077,-360012.4226923077
UTA,24,-9590881.489999998,-399620.06208333327,-399620.06208333327
WSH,21,-10960279.219999999,-521918.05809523806,-521918.05809523806
MIN,27,-13659897.370000001,-505922.12481481483,-505922.12481481483
FLA,27,-14542195.82,-538599.8451851852,-538599.8451851852
SEA,24,-15055637.559999999,-627318.2316666666,-627318.2316666666
BOS,24,-15461027.55,-644209.4812500001,-644209.4812500001
L.A,26,-16058692.950000001,-617642.0365384616,-617642.0365384616
WPG,22,-16262079.549999999,-739185.4340909091,-739185.4340909091
CBJ,27,-16276015.999999998,-602815.4074074073,-602815.4074074073
EDM,22,-16845349.98,-765697.7263636364,-765697.7263636364
OTT,25,-17573022.59,-702920.9036,-702920.9036
BUF,30,-18366550.89,-612218.363,-612218.363
STL,20,-18508266.83,-925413.3414999999,-925413.3414999999
NYR,23,-18847313.97,-819448.4334782608,-819448.4334782608
NYI,23,-20948703.69,-910813.2039130435,-910813.2039130435
DAL,27,-21057574.47,-779910.1655555555,-779910.1655555555
CGY,25,-21215887.8,-848635.512,-848635.512
VGK,20,-21649789.01,-1082489.4505,-1082489.4505
PHI,25,-21660562.03,-866422.4812,-866422.4812
VAN,21,-21816742.86,-1038892.5171428571,-1038892.5171428571
TOR,21,-24518539.24,-1167549.4876190475,-1167549.4876190475
N.J,25,-30633307.43,-1225332.2972,-1225332.2972
MTL,21,-31354868.9,-1493088.995238095,-1493088.995238095
